Name,License Type,License Status,Phone Number,Address Number and Street,Address Line,City,State,ZIP,County,Named Individual #1,Named Individual #2
PACIFIC AUTO CLINIC,SMOG STATION - TEST & REPAIR,REVOKED,(209) 339-4046,25355 N. HWY 99 FRONTAGE RD,Null,ACAMPO,CA,95220,SAN JOAQUIN COUNTY," SINGH, VEER VIJAY",null
AUTO TECHNIKS,SMOG STATION - TEST & REPAIR,CANCELLED,(661) 252-4999,3932 W SIERRA HIGHWAY #B,Null,ACTON,CA,93510,LOS ANGELES COUNTY,null,null
A 1 ADELANTO AUTO REPAIR CENTER,SMOG STATION - TEST & REPAIR,REVOKED,(760) 246-8133,11719 BARTLETT AVE,Null,ADELANTO,CA,92301-1711,SAN BERNARDINO COUNTY," GOYTIA, YVONNE",null
ADELANTO SMOG,SMOG STATION - TEST ONLY,CANCELLED,(760) 991-6034,17845 JONATHAN STREET,Null,ADELANTO,CA,92301-0000,SAN BERNARDINO COUNTY," PALACIOS, EDWARD PETER",null
ADELANTO SMOG CHECK INC,SMOG STATION - TEST ONLY,CANCELLED,(702) 272-9800,11608 BARTLETT AVE,Null,ADELANTO,CA,92301,SAN BERNARDINO COUNTY,null,null
MAGIC SMOG,SMOG STATION - TEST ONLY,CANCELLED,(760) 987-0136,11683 RANCHO ROAD UNIT #1,Null,ADELANTO,CA,92301,SAN BERNARDINO COUNTY," QOTAMI, SULTAN S",null
MAGIC SMOG CENTER,SMOG STATION - TEST ONLY,VALID,(760) 530-9494,11683 RANCHO RD. UNIT 1,Null,ADELANTO,CA,92301-0000,SAN BERNARDINO COUNTY," HABHAB, SUHAIR FUAD",null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
101 AGOURA HILLS SMOG,SMOG STATION - TEST ONLY,CANCELLED,(818) 397-0819,28115 DROTHY DRIVE #A,Null,AGOURA HILLS,CA,91301-0000,LOS ANGELES COUNTY," ANIS, WALID",null
AGOURA AUTO SPA INC,SMOG STATION - TEST & REPAIR,CANCELLED,(818) 879-1426,28236 DOROTHY DR #C,Null,AGOURA HILLS,CA,91301,LOS ANGELES COUNTY,null,null
AGOURA LUBE & SMOG,SMOG STATION - TEST & REPAIR,CANCELLED,(818) 707-0163,28115 DOROTHY DR. UNIT B,Null,AGOURA HILLS,CA,91301-0000,LOS ANGELES COUNTY," ZIDE, LAWRENCE M",null
AGOURA LUBE & SMOG,SMOG STATION - TEST ONLY,DELINQUENT,(818) 707-7388,28115 DOROTHY DRIVE,Null,AGOURA HILLS,CA,91301,LOS ANGELES COUNTY," SHERIF, MOHAMMED",null
H & A AUTO CARE,SMOG STATION - TEST & REPAIR,CANCELLED,(818) 707-0163,28115 DOROTHY DRIVE,Null,AGOURA HILLS,CA,91301,LOS ANGELES COUNTY," DELGADO, ALFREDO J","PEREGRINO, HECTOR"
ROADSIDE SMOG TEST ONLY,SMOG STATION - TEST ONLY,VALID,(818) 889-5800,29338 ROADSIDE DR #C,Null,AGOURA HILLS,CA,91301,LOS ANGELES COUNTY," GU, JAMEE JUNG",null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
AAC SMOG TEST & REPAIR,SMOG STATION - TEST ONLY,CANCELLED,(510) 263-9888,2267 LINCOLN AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," SEID, WING YIP","MARK-SEID, YVONNE"
AAC SMOG TEST & REPAIR,SMOG STATION - TEST ONLY,CANCELLED,(510) 263-9888,2267 LINCOLN AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," SEID, WING YIP","MARK-SEID, YVONNE"
AAC SMOG TEST & REPAIR,SMOG STATION - TEST & REPAIR,VALID,(510) 263-9888,2267 LINCOLN AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," SEID, WING YIP","MARK-SEID, YVONNE"
AAC SMOG TEST & REPAIR,SMOG STATION - TEST & REPAIR,VALID,(510) 263-9888,2267 LINCOLN AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," SEID, WING YIP","MARK-SEID, YVONNE"
ALAMEDA ALFA AUTO REPAIR,SMOG STATION - TEST & REPAIR,SUSPENDED,(510) 749-9889,1541 PARK STREET #B,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY," YEUNG, RAYMOND C",null
ALAMEDA AUTO CARE CENTER,SMOG STATION - TEST & REPAIR,REVOKED,(415) 865-7872,2405 EAGLE AVE,Null,ALAMEDA,CA,94501-1524,ALAMEDA COUNTY," CHOY, PHILLIP","GIN, GILBERT A"
ALAMEDA AUTO CARE CENTER,SMOG STATION - TEST & REPAIR,VALID,(510) 865-7872,2405 EAGLE AVENUE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," CHAU, ANDY","CHAU, DAVID XUONG"
ALAMEDA SMOG,SMOG STATION - TEST ONLY,VALID,(510) 735-5705,1928 HIGH ST.,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY," CORTEZ VERA, ROBERT ANTHONY","TURANOVIC, IRMAN"
ALAMEDA SMOG CHECK,SMOG STATION - TEST ONLY,CANCELLED,(510) 735-5705,1928 HIGH ST.,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY,null,null
ALAMEDA SMOG DOG,SMOG STATION - TEST ONLY,CANCELLED,(510) 522-7664,1726 PARK ST. # A,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY,null,null
ALAMEDA SMOG DOG,SMOG STATION - TEST ONLY,VALID,(510) 522-7664,1726 PARK ST. #A,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY," TODD, CARL DAVID",null
ALAMEDA SMOG DOG,SMOG STATION - TEST ONLY,REVOKED,(510) 205-1984,2035 SAN ANTARIO AVE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY,null,null
ALAMEDA SMOG TEST CENTER,SMOG STATION - TEST ONLY,REVOKED,(510) 523-5900,1716 WEBSTER STREET,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY," PHAM, JOHN CONG",null
BLANDING AUTO REPAIR,SMOG STATION - TEST & REPAIR,VALID,(415) 608-2688,2338 BLANDING AVE,Null,ALAMEDA,CA,94501-0000,ALAMEDA COUNTY," TAM, KWOK L",null
CENTRAL AUTO SERVICE,SMOG STATION - TEST ONLY,CANCELLED,(510) 523-4770,1310 CENTRAL AVENUE,Null,ALAMEDA,CA,94501,ALAMEDA COUNTY,null,null
